text,score,sentiment
followfriday top support community week emo_pos,2.311895503111062,2
buut oh well emo_pos,1.7797244831294874,1
looking forward visiting next week letsgetmessy jo emo_pos,2.6495639251887546,2
make u feel better never see anyone kpop flesh,2.7624675334537456,2
good girl best wish emo_pos,2.0682523065875085,2
great enough reason listen one epic soundtrack,2.583126763629189,2
thank shout great friday emo_pos,2.0419945540502984,2
added video playlist im back twitch today going league emo_pos,3.004359357249671,2
would love see dear jordan emo_pos waiting emo_pos,2.4931643166137483,2
oh okay thanks,1.69454319608613,1
like fake gameplays neutral haha im kidding im kidding good stuff emo_pos,2.7663867389712946,2
yeah exactly emo_pos,1.5128732359544963,1
new product line etsy shop check emo_pos boxroomcrafts,2.6544291687919763,2
hope vacation going great,1.955851997072424,1
rechargeable normally come charger u buy emo_pos,2.2759465108966936,2
followfriday top engaged member community week emo_pos,2.502023168200067,2
well asleep one talk soo someone text emo_pos,2.682438154754705,2
yes suppose bet blue fit hearing speech today pity emo_pos,3.002475939970928,2
green garden midnight sun beautiful canal dasvidaniya till next visit.emo_pos,3.1715198709246817,2
scouting sg future wlan pro conference asia emo_pos,2.6899025950445967,2
good u better change lollipop emo_pos,2.0201140404035023,2
lt u nez emo_pos agnezmo,1.7693067779577805,1
follow please emo_pos big dream emo_pos,2.1310500692481806,2
oley,1.0,1
mama reason stand stronger emo_pos,2.0609658444505827,2
follow amp follow u back emo_pos,1.762644965227542,1
oh god misty baby cute,2.2099994760281203,2
love blue emo_pos flipkartfashionfriday,1.7847881037001836,1
woohoo ca nt wait emo_pos signed yet still thinking mka,3.0099883455477983,2
liam access emo_pos,1.513517193172699,1
welcome emo_pos,1.1910254511559744,1
stats day arrived new follower unfollowers emo_pos via,2.7134367253129823,2
nt surprised amazing figure emo_pos,2.019585410719361,2
followfriday top influencers community week emo_pos,2.3021999176160106,2
happybirthdayemilybett emo_pos wishing best beautiful sweet talented,2.482973851219924,2
plan day drain great emo_pos,1.999926304630778,1
got ta love timezones p,1.920944599720129,1
parent proud lol least maybe sometimes get happy grade al,3.107673474104088,2
grande emo_pos,1.1371220674284137,1
manila_bro chosen follow twitter thanks follow emo_pos,2.221755979798331,2
sure let know around side world eh u take care emo_pos,3.01507300449979,2
followfriday top new follower community week emo_pos,2.514656936109152,2
finally fucking weekend emo_pos,1.8130227875889107,1
real emo_pos,1.1569940984806215,1
thanks,1.0,1
hi bam follow bestfriend love lot emo_pos see warsaw lt love lt x45,3.0657696267790966,2
yes joined hushedcallwithfraydoe call amp gift lt got ta get,3.0800795592651005,2
yeahh emo_pos,1.1371220674284137,1
dm amp make night better emo_pos,2.312528198830978,2
joined hushedpinwithsammy event might get text day luv u,2.7656415248484443,2
would really appreciate share video around emo_pos,2.507261332002184,2
hello emo_pos get youth job opportunity follow gt gt,2.555860437083276,2
oh wow beautiful tom emo_pos,2.0660984815092625,2
love emo_pos,1.2447133319073662,1
added video playlist im back twitch today going league emo_pos,3.004359357249671,2
followfriday top support community week emo_pos,2.311895503111062,2
follow amp follow u back emo_pos,1.762644965227542,1
gym monday ca nt wait emo_pos like,2.4399174594699184,2
hey invite join scope influencer emo_pos,2.291457056027518,2
friend know emo_pos,1.5527949291430214,1
waiting nude emo_pos,1.4978142058126866,1
go sleep u emo_pos,1.542661114858172,1
stats day arrived new follower unfollowers emo_pos via,2.7134367253129823,2
birthday week today,1.7292048165059897,1
want tshirts cool,1.6929846562526851,1
haw phela looking like mom obviously looking like emo_pos,2.478853928240672,2
prince charming stage emo_pos x,1.8064048900743328,1
really good luck emo_pos,1.8259013904172503,1
stats day arrived new follower unfollowers emo_pos via,2.7134367253129823,2
followfriday top engaged member community week emo_pos,2.502023168200067,2
tyler hipster glass,1.7306889216589494,1
hey marty glad see twitter emo_pos,2.265301381323651,2
hi joining today emo_pos,1.7710256177168446,1
done thanks emo_pos,1.5265006641814518,1
already afternoon let read al kahfi day finish emo_pos,2.8191274127314307,2
ohmyg yaya dub im done stalk ig accnt gondoo moo tologoo emo_pos haha,3.464923179561203,2
invite become scope influencer emo_pos detail,2.2995312490226887,2
followfriday top influencers community week emo_pos,2.3021999176160106,2
thanks emo_pos zz xx,1.732561163000334,1
physiotherapy friday hashtag today custom emo_pos,2.2375597821108446,2
know monica miss yeah sound good emo_pos,2.4498783425084003,2
good morning beautiful emo_pos take,2.0799232018857694,2
hi bam follow bestfriend love lot emo_pos see warsaw lt love lt x43,3.0657696267790966,2
oh yeah definitely going try tonight emo_pos took advice treviso,3.0217595094209235,2
follow amp follow u back emo_pos,1.762644965227542,1
hi would like concert let know city country start working thanks emo_pos,3.3315220462618167,2
fine gorgeous friday friend xo emo_pos,2.2703374822093734,2
oven roasted garlic olive oil sun dried tomato dried basil century tuna emo_pos,3.2288969052882743,2
right back atchya great day everyone emo_pos,2.4357905341223267,2
nt even follow back emo_pos,2.0741142100261047,2
future almost emo_pos,1.5218784712004405,1
followfriday top new follower community week emo_pos,2.514656936109152,2
chance emo_pos,1.1327061306770725,1
cheer emo_pos,1.1631546994730426,1
go po ice cream emo_pos,2.051565517298,2
agree emo_pos,1.1569940984806215,1
hehehehe thats point p,1.7272447153863109,1
next time stay home emo_pos,2.0772075224518134,2
thanks emo_pos,1.2651372398130718,1
followfriday top support community week emo_pos,2.311895503111062,2
soon promise emo_pos,1.5086517842957181,1
web whatsapp volta funcionar com iphone jailbroken emo_pos,2.691532635978976,2
plan watching later min leia appears hologram r2d2 w message obi wan sits w luke emo_pos,3.6222493778819937,2
inter ucl arsenal small team right emo_pos,2.4769588768061954,2
passing emo_pos dewsbury railway station dew dewsbury west yorkshire,2.559952756228792,2
emo_pos smh,1.1327061306770725,1
emo_pos live scotland emo_pos strange imagine megan xx,2.53375522555422,2
masaantoday masaantoday a4 shweta tripathi masaantoday masaantoday,1.5988611931263748,1
w kurta mom half number wsalelove,2.2304002999193164,2
ah hello back larry emo_pos,2.0400721521229834,2
anyway friday looking kinda good emo_pos,2.2812321864844294,2
follow amp follow u back emo_pos,1.762644965227542,1
lol well life emo_pos thank god enn,2.45690543911296,2
surely could warmup morning coming bath emo_pos xx,2.6629576042438683,2
dum dum andar ram sampath sona mohapatra amp samantha edward mein tulane razi razi wah josh emo_pos,3.5608051442893034,2
emo_pos always smile,1.5421560217649115,1
picture emo_pos,1.1490403834659122,1
thanks time right perfect timing emo_pos,2.2362804428622827,2
followfriday top engaged member community week emo_pos,2.502023168200067,2
know emo_pos,1.2205958041996294,1
giveitup already given gas subsidy long back initiative proposed feeling delighted done emo_pos,3.447910440025092,2
missed yesterday emo_pos,1.5108569225608068,1
hi bam follow bestfriend love lot emo_pos see warsaw lt love lt x42,3.0657696267790966,2
lmaoo best song ever lt shall little throwback week yemo_negp,3.108171412463203,2
go outlying island cheung chau mui wo totally different emo_pos,3.017166661834024,2
kfckitchentours kitchen clean totally amazed emo_pos,2.2929816382669137,2
follow amp follow u back emo_pos,1.762644965227542,1
cusp testing water hope rewarding emo_pos,2.259433267727877,2
followfriday top influencers community week emo_pos,2.3021999176160106,2
arummzz let go drive p traveling traveler yogyakarta jeep indonesia,2.954378182548808,2
anyone wan na skype,1.980759101547586,1
may look bit real nice friendly girl emo_pos,2.669136508859864,2
im like emo_pos,1.5439924475323168,1
watching concert film emo_pos,1.8175657139039705,1
congratulation winner cheesydelights contest emo_pos please dm u address contact number,3.020318482118207,2
emo_pos great weekend guy,1.84433520879298,1
followfriday top new follower community week emo_pos,2.514656936109152,2
cool seeing film today emo_pos,2.059822251471908,2
check email marketing wo nt regret buy emo_pos,2.6581156661673866,2
lol come join u see u around hour u leave without delay emo_pos,3.007508559763528,2
actually easy like must station guess train wd take least hour shifting engine etc emo_pos,3.730122324445266,2
sunburn peeling emo_pos,1.504374736591584,1
visit blog thanks,1.6870859123817172,1
hi would like concert let know city country start working thanks emo_pos,3.3315220462618167,2
talk help emo_pos,1.5358875428756318,1
huge amp warm welcome emo_pos finally complete triangle,2.657890425943879,2
live northern ireland emo_pos sight seen,2.286855147919556,2
follow amp follow u back emo_pos,1.762644965227542,1
followfriday top support community week emo_pos,2.311895503111062,2
stats day arrived new follower unfollowers emo_pos via,2.7134367253129823,2
feeling smthng smthng fr u lol wan na hug u xoxo love uu jaann take care emo_pos emo_pos lt,3.5300658802672404,2
thanks mom emo_pos,1.4706685072675063,1
thanks topnewfollowers happy connect emo_pos,1.9833273413741512,1
wonderful thing made feel fluffy inside great pirouette moose,2.9354241859270704,2
trip philly december emo_pos love come dude,2.447104620823752,2
hi bam follow bestfriend love lot emo_pos see warsaw lt love lt x41,3.0657696267790966,2
question flawed pain nt negate strength emo_pos,2.4550105558600834,2
went solo move nt made,2.190028349360011,2
hey fav nirvana song smell like teen spirit rip amy winehouse emo_pos,3.3011506984352943,2
followfriday top engaged member community week emo_pos,2.502023168200067,2
let go drive p traveling traveler yogyakarta jeep indonesia,2.782857200691585,2
name couple yet tomhiddleston elizabetholsen yaytheylookgreat emo_pos,2.493987282671095,2
love goodnight vid going wake love one emo_pos,2.4818667158843297,2
weekend gon na shoot lovely lt picture made last time,3.1211726414725267,2
anyway emo_pos,1.1602380492773277,1
itty bitty teenie bikini emo_pos,2.063897920135932,2
joined hushedpinwithsammy event might get text day luv u,2.7656415248484443,2
always much fun hour get together emo_pos ending night ice cream xfiles content,3.437984074470898,2
easy,1.0,1
yes surprised nt see bit rain today emo_pos,2.641659457250732,2
follow amp follow u back emo_pos,1.762644965227542,1
fabulous friday keep fantastic work emo_pos,2.280317529148582,2
please follow please jb follow love always forever belieber emo_pos love u,2.6635051462087707,2
followfriday top influencers community week emo_pos,2.3021999176160106,2
morning emo_pos,1.198099229737217,1
good hear emo_pos,1.5227698487847676,1
nighty night nt let bed bug bite,2.5623541042718028,2
beautiful bracelet good idea emo_pos,2.030945715915502,2
waiting foundry emo_pos,1.4978142058126866,1
like game emo_pos,1.5287102363853058,1
ah make sense nt see pic effing phone last night woot emo_pos x,3.2905702877577263,2
hi derek could try using parkshare gloucestershire emo_pos,2.6421461774118185,2
aahh man track traffic stress reliever emo_pos,2.4976668486728344,2
followfriday top new follower community week emo_pos,2.514656936109152,2
today dear emo_pos,1.5251600383347756,1
hear guy want arbeloa,1.9590148903961384,1
turning day omg least year difference emo_pos,2.4589552116953115,2
well say europe rise find hard believe emo_pos,2.666574110303228,2
wsalelove uncountable coz love unlimited emo_pos,2.2370430286179546,2
yes course emo_pos teampositive,1.7886061005698728,1
yes love emo_pos aldub,1.7586507405007206,1
emo_pos thank rita,1.4589166754845757,1
hi could please dm u info happy help emo_pos,2.6854657446268853,2
way boy emo_pos,1.5260841992012164,1
hope get lot nice gift,2.190442604832516,2
hi bam follow bestfriend love lot emo_pos see warsaw lt love lt x40,3.0657696267790966,2
followfriday top support community week emo_pos,2.311895503111062,2
true emo_pos,1.1617323187628157,1
added video playlist im back twitch today going league emo_pos,3.004359357249671,2
sethi high emo_pos,1.5105222470295363,1
exe skeem saam emo_pos,1.8057780840440132,1
people make smile emo_pos,1.8375561008566144,1
thanks invite emo_pos,1.4896354478279896,1
polite izzat emo_pos wese trust khawateen k sath selfies say mana kar deya emo_pos,3.3754036717607487,2
thank friday evening sorted emo_pos,2.005942897500052,2
smart emo_pos,1.1407503487091226,1
emo_pos nice hair tbh,1.7948749264780182,1
year emo_pos,1.1783804127710722,1
jacob amp g upgrade emo_pos,1.752429643071061,1
nice tee man emo_pos,1.7993645171470591,1
happy family vacation pic,1.9672517595515429,1
sleep would nice emo_pos,1.838160151727708,1
reading beautiful like read emo_pos,2.049787325764424,2
talking one person two conversation emo_pos,2.2890402522192046,2
skype fun emo_pos,1.5038424570912552,1
online emo_pos,1.1371220674284137,1
friday,1.0,1
followfriday top engaged member community week emo_pos,2.502023168200067,2
something get friday great start emo_pos great day mclaren fridayfeeling tgif,2.9577199388134567,2
follow amp follow u back emo_pos,1.762644965227542,1
square enix bissmillah ya allah emo_pos,2.283832457933039,2
training socent startup week love drop youre arnd town emo_pos,2.9801595919790937,2
basically piss cup test emo_pos,2.066704231265774,2
next emo_pos,1.179249601815917,1
also twitter terrible complicated discussion emo_pos,2.2735775736969543,2
snapchat lynettelowe snapchat kikmenow snapme hot snapchat amazon kikmeguys emo_pos,2.478332591304816,2
looking forward hour shift today emo_pos,2.2758924305959005,2
definately agree growing sport drop email detail see emo_pos,2.839987351608443,2
last emo_pos,1.1800989384807306,1
rakyat keep visiting blog reading writing emo_pos,2.480539473652957,2
ever since mentioned fly fishing day getting follows promoted post lol cyber stalked emo_pos,3.586462504872641,2
ourdaughtersourpride mypapamypride proud papa coach emo_pos,2.2894917139810187,2
great talking,1.3794802290828518,1
never see positive kha u could also mention atleast going emo_pos,2.99250094487442,2
hi bam follow bestfriend love lot emo_pos see warsaw lt love lt x39,3.0657696267790966,2
mango lassi monty marvellous though suspect meant,2.636759263205151,2
followfriday top influencers community week emo_pos,2.3021999176160106,2
haha yes hr time come touch kepler chalna hai,2.9370474080864035,2
follow amp follow u back emo_pos,1.762644965227542,1
thankyou pretty emo_pos,1.5273667886255755,1
definitely hazel food market brooklyn pta emo_pos gt gt,2.654183589958914,2
still awake emo_pos,1.5119289474515507,1
okayy,1.0,1
aww thank emo_pos,1.5198799956616935,1
ha surprise least okay see doc afternoon yorkshire splendid though emo_pos xx,3.3110075738930496,2
spam folder wow huge amount need travel nigeria claim emo_pos,3.0166956937680824,2
rted good luck emo_pos,1.758260869413221,1
leg hurt bad emo_pos,1.8112232132206816,1
get mine saturday emo_pos,1.789132590591596,1
thaanks december puhon emo_pos,1.8064048900743328,1
emo_pos,1.0,1
true change tnc without prior notification could used last night emo_pos,3.1721783137411568,2
probably find funny emo_pos,1.8216991165893919,1
fat co probably ate yuna,2.231393539124125,2
fun tameside emo_pos,1.4872936873926403,1
emo_pos emo_pos emo_pos,1.0,1
welcome emo_pos,1.1910254511559744,1
account emo_pos,1.1569940984806215,1
call scouser everything hope zoe well mate emo_pos,2.6492423676923464,2
right literally like maybe u get people actually know emo_pos,2.8346150096807894,2
rest well emo_pos,1.5196808372121438,1
happy birthday edgar hope good one keep updating travel log emo_pos,3.109925773678671,2
hello,1.0,1
bring abes emo_pos,1.505307359353411,1
stats day arrived new follower unfollowers emo_pos via,2.7134367253129823,2
someone talk emo_pos,1.5355071008392696,1
never ever meet,1.7314578569870085,1
come man,1.4089252648510766,1
follow amp follow u back emo_pos,1.762644965227542,1
hi bam follow bestfriend love lot emo_pos see warsaw lt love lt x38,3.0657696267790966,2
sigh dreamily pout come bath eye emo_pos quacketyquack,2.6770290900816427,2
happy birthday love emo_pos,1.8417346780861847,1
cheer emo_pos,1.1631546994730426,1
funny happened phil emo_pos,1.8053559065446527,1
call em del amp rodders emo_pos else,2.455986607589389,2
hi may like play newest gamejam game would happy emo_pos,2.953355206529808,2
great irish literature really inaccessible u without irish emo_pos,2.2493870557902893,2
yeah fun emo_pos flipkartfashionfriday,1.831433335908657,1
nice music emo_pos check,1.821596531808156,1
strange kareena fan knowing kareena fan emo_pos,1.940952714743799,1
hello emo_pos get youth job opportunity follow gt gt,2.555860437083276,2
better emo_pos,1.180929503047584,1
cool look emo_pos,1.5434129628717006,1
emo_pos beautiful,1.183318077309711,1
playing brain dot emo_pos braindots,2.0755643548920264,2
fair enough emo_pos would nt rush back either,2.625149147539149,2
brandi fb drop selfie emo_pos fun,2.279387140398643,2
follow amp follow u back emo_pos,1.762644965227542,1
carnival men put mask mask xavier forneret emo_pos,2.3456608888287382,2
jennifer check site u wan na get free ball pool coin thank emo_pos,3.2959452078802762,2
beautiful edit trish emo_pos loved,2.051502777052584,2
gratefulness happiness emo_pos post three thing grateful today comment,2.8462598212915484,2
love wakeup beside amp real dirty dirty sex emo_pos,2.4127591933117034,2
lmaoo hot like louis emo_pos hot,1.9338049365703118,1
gon na throw idea cause bad inspire think something much better emo_pos,3.3381073550318088,2
ff best twoofs follow gr8 wkend emo_pos,2.440850695363444,2
wish could maybe one year emo_pos,2.3045544097811854,2
hey guy emo_pos,1.5509676812868003,1
think need go bed kind exhausted good night twitter emo_pos,3.006692654397515,2
thank much glad liked emo_pos,2.0465191506208185,2
get better time emo_pos,1.8405122362949973,1
kind word thank much much good cheltenham area emo_pos,2.5829829517444702,2
hi beautiful follow please emo_pos,2.0880318956556154,2
kale crisp emo_pos ruin good thing,2.233360036402331,2
hi bam follow bestfriend love lot emo_pos see warsaw lt love lt x37,3.0657696267790966,2
open worldwide emo_pos,1.5105509478804222,1
get fuck outta,1.6781196660782178,1
cool guy sfvbeta release work emo_pos,2.2687470572118045,2
really look vantastic emo_pos,1.774800476649248,1
today finally time work xcylin,2.1727494233672155,2
thank bundle show internet price phone realisticly paying net emo_pos,2.9914407026169454,2
emo_pos true education powerful weapon use change world nelson mandela,3.0231094211779235,2
follow amp follow u back emo_pos,1.762644965227542,1
recent trip j amp k totally loved chenab flow pakistan incredibleindia,2.9579377357447747,2
teenchoice choiceinternationalartist superjunior emo_pos,1.8188305079925762,1
caught first salmon today,1.9496450185905656,1
happy friday checking see enjoyed superblend emo_pos,2.4266215734235104,2
thanks following get touch like info project youth emo_pos,2.805700588837788,2
please go check awesome friend stream fantastic artist emo_pos,2.849896573571272,2
alma mater emo_pos highschooldays clientvisit emo_pos faith christian school,2.7300713951248454,2
good luck lizaminnelli upcoming uk appearance emo_pos,2.450536118955012,2
lol ca nt believe beautiful girl like single p,2.7710268620399856,2
never listening hill every emo_pos,2.0652315580633265,2
would listen beat went wrong life emo_pos,2.492432719175792,2
haha great emo_pos,1.548512716471085,1
getting everything ready natural pefumery workshop neals yard covent garden tomorrow emo_pos,3.3292515307410118,2
fback emo_pos indo harmos,1.790433815100856,1
americano emo_pos,1.1269357505587645,1
emo_pos,1.0,1
love way emo_pos lt,1.8310864811002805,1
always remember emo_pos,1.51939621318907,1
aww thank beautiful pic,1.974688035490558,1
head emo_pos,1.151268925746403,1
hi saw u follow thought u might like dark plz let u know u think emo_pos,3.301092549881292,2
smart handshome cute juga,1.9843786848826959,1
hurray looking forward meeting emo_pos,2.050857465259022,2
follow amp follow u back emo_pos,1.762644965227542,1
cause hate course lol cant decide want change im going take time save maybe travel emo_pos,3.8768696196776364,2
list still show emo_pos,1.820572720509068,1
emo_pos,1.0,1
hi would like concert let know city country start working thanks emo_pos,3.3315220462618167,2
oh awesome thank much emo_pos,2.083978452582984,2
perfect emo_pos,1.1631546994730426,1
hiya email web exec loryn.good able help emo_pos,2.8259139718532036,2
emo_pos enjoy photo mom baby,2.071992825671854,2
big thx kind support good luck emo_pos,2.499232658697644,2
china actually girl homosexual love either way hyungbot,2.762189112584281,2
cause like lot emo_pos,1.8083410045737487,1
give time fam got thing mind emo_pos,2.4668479819651288,2
thanks god friday emo_pos jgh,2.0174982207870302,2
lovely emo_pos,1.1870022234654791,1
timetunnel quite sure radio set heart emo_pos,2.492469248924178,2
hii jack emo_pos ily,1.8081793739272576,1
played domino pub got quite heated enjoyed though,2.7953720776038047,2
prob emo_pos,1.1371220674284137,1
enjoy sorry hastily typed message emo_pos,2.2742185526153804,2
ff thank emo_pos,1.5427005658931183,1
say big thank person came idea screenshotting emo_pos,2.656426456736181,2
true pakistani p,1.4014862178391896,1
emo_pos mention,1.1617323187628157,1
hi bam follow bestfriend love lot emo_pos see warsaw lt love lt x36,3.0657696267790966,2
dreamteam goo bailey emo_pos pbb737gold,2.064554271636581,2
thank emo_pos,1.2380590092427857,1
drank emo_pos,1.1269357505587645,1
old pic emo_pos,1.5289075383521795,1
follow amp follow u back emo_pos,1.762644965227542,1
nt gotten sleep hour emo_pos,2.033367144074264,2
welsh wale today yippee emo_pos,2.0302140119710685,2
done emo_pos,1.1800989384807306,1
happy birthday baby miss much love much emo_pos,2.386183091531461,2
thanks bro x,1.3535224029023365,1
thats lord emo_pos,1.5142711683679588,1
sweet emo_pos,1.1602380492773277,1
like michael emo_pos thanks kind word cheer em,2.623657250526441,2
morning really u already fun cause weekend right ure future neutral amazing night,3.420882862299661,2
waiting people call bigot p,1.9705525573140248,1
usually emo_pos front back squat,2.023347465718061,2
much fun really enjoyed hope next contest coming soon emo_pos emo_pos emo_pos,3.10532884522038,2
dobar dan emo_pos brand new heavy musicology2015 day2,2.6590853595273884,2
look like great way spend friday afternoon enjoy marathon iflix emo_pos,3.106451259906051,2
need someone talk always emo_pos keep head,2.509356928425268,2
officially graduated,1.4119046842338143,1
glad cry,1.4027598010267956,1
thanks emo_pos,1.2651372398130718,1
yep expert bisexuality emo_pos good luck,2.2411832257677218,2
minal aidzin yo pi,1.9966357453703123,1
follow amp follow u back emo_pos,1.762644965227542,1
plan read brand new cook book figure make dinner tonight emo_pos,3.1680221096699417,2
lol tough choice tbh really like every song others p,2.9425415059207864,2
welcome emo_pos emo_pos,1.3174846047479418,1
chill smu oval coz basketball player whahahaha soamazing,2.8270699146772276,2
moment decide log onto account nt year moment saw best thing ever emo_pos,3.1694713202851568,2
a5 girl wardrobe would w emo_pos wsalelove,2.2621405206487317,2
new user emo_pos,1.4645021220002026,1
welcome back teamred emo_pos,1.7580242882172408,1
oh apparently already member lol hopefully able come depends time,3.1152289334333907,2
greatly appreciated emo_pos,1.505779026909856,1
hi made change design hope like emo_pos,2.482239840619581,2
ahh yes,1.3878577111731836,1
cinepambata video festival complete mechanic official entry form may downloaded sali na,3.4337404346318454,2
hello emo_pos get youth job opportunity follow gt gt,2.555860437083276,2
follow amp follow u back emo_pos,1.762644965227542,1
ur mom getting u swishers ur copping monday emo_pos,2.4455661170369263,2
song week ducktails surreal exposure sotw jingly jangly loveliness emo_pos,3.0123229090456696,2
halesowen blackcountryfair tomorrow follower going come say hello stand high street emo_pos,3.297009387717161,2
good luck assessment today emo_pos,2.008373817708436,2
mental strength,1.4137881221865114,1
looking beautiful amazing body ooze sex appeal emo_pos xx,2.8362093543214795,2
home amassiveoverdoseofships latest vid way enjoy visit site emo_pos,2.853290068901096,2
isi chan,1.414213562373095,1
amp c noted emo_pos pkwalasawaal,1.752429643071061,1
stats day arrived new follower unfollowers emo_pos via,2.7134367253129823,2
thanks follow gemma enjoy new orleans emo_pos,2.378685497027755,2
fever finally caught geskenya obamainkenya magicalkenya emo_pos greatkenya allgoodthingske,2.86632066168294,2
funny next anime umaru,1.973888601090076,1
great singer emo_pos,1.45958772046235,1
follow amp follow u back emo_pos,1.762644965227542,1
look like game ship u got order emo_pos,2.4796103909271183,2
take room amp car gone cool emo_pos,2.4683543803055183,2
going streaming soon emo_pos,1.8033538610077242,1
thanks emo_pos,1.2651372398130718,1
hi would like concert let know city country start working thanks emo_pos,3.3315220462618167,2
hahaha everyone fun story related song got labeled worst batch principal due p,3.4142283351384464,2
get stuff like march release one first starting new one emo_pos,2.9370012896703885,2
ff top twoofs wooftastic wkend guy emo_pos,2.478142239862457,2
well received necessary emo_pos,1.7851279226051042,1
long time see p,1.7164323980259004,1
regret rn tomorrow morning whatever emo_pos,2.270498064403422,2
hat,1.0,1
thank emo_pos,1.2380590092427857,1
never love life success emo_pos,2.0399038866860657,2
abstinence emo_pos,1.1269357505587645,1
wtf never happened moment may may like surprise thrown,2.701799769225236,2
start middle finished emo_pos,1.8004404943812342,1
im back twitter emo_pos,1.826581486029732,1
ended happy emo_pos,1.4575522731531672,1
lovely stuff need repeated relentlessly approximately next year emo_pos,2.828508663434375,2
hug many emo_pos,1.5264801931874818,1
oldschool runescape emo_pos,1.504374736591584,1
thanks shout wonderful weekend emo_pos,2.030035817166066,2
rest day emo_pos,1.4967206338115824,1
lovely daay,1.3820144883869758,1
jumma_mubarik lt lt lt frnds emo_pos stay_blessed emo_pos emo_pos emo_pos feeling blessed,2.5103913276603453,2
sense emo_pos,1.146589952295531,1
aww pussycat emo_pos xx,1.791709137661763,1
hope everything going great emo_pos lol,2.2937768753650207,2
market main launched pretoria emo_pos,2.06417097026414,2
care care fahrinahmad tengkuaaronshah eksperimencinta,1.94459499940366,1
special paysafecard giveaway emo_pos lue desc,2.289156058647964,2
month waiting finally hoodie emo_pos eep yay sohappyrightnow,2.680370806605094,2
mm c lovely azzsets babe emo_pos,2.0475477876741373,2
thx feedback glad gained value emo_pos,2.2833080982418466,2
good night lovely hope peaceful night rest feel refreshed wake sweet dream emo_pos,3.2592232743787717,2
never get used thank much emo_pos,2.277808247701725,2
thanks manthan stay tuned u emo_pos,1.997379409313607,1
freshness beautiful smile mother amp determination make day emo_pos maxfreshmove,2.957079741312987,2
playing brain dot emo_pos braindots,2.0755643548920264,2
please james think beautiful girl loneliest tattoo changed life emo_pos,3.0084516438612923,2
hi girl emo_pos.wish happy friday.and magnificent fantastic,2.7981686169961613,2
achieved together thank rashmi time dedication complete inspiration emo_pos,2.803918084170546,2
ff happyfriday weekend nearly emo_pos,2.0487720419244417,2
retweeted emo_pos,1.1371220674284137,1
updated soon sure sign set text alert emo_pos,2.67882216964218,2
something new,1.3983115706327385,1
dang rad fanart,1.7320508075688772,1
cheer tgif emo_pos,1.5231558709692794,1
massive congrats niamh fennell emo_pos journalism graduate land dream job copying amp pasting tweet,3.5797113607662148,2
thank emo_pos,1.2380590092427857,1
stats day arrived new follower unfollowers emo_pos via,2.7134367253129823,2
yes thank,1.4026434604779,1
ariana grande selena gomez louis tomlinson rita liam payne caradelevingne trade solo dm emo_pos,3.628960310423407,2
tired fine emo_pos,1.513517193172699,1
nope definitely still apply year want iamca,2.6080894936974843,2
ah found thanks emo_pos,1.77683601242794,1
aftie p,1.0,1
goodmorning emo_pos,1.1407503487091226,1
follow amp follow u back emo_pos,1.762644965227542,1
exactly look going,1.7027695124297668,1
